Rank	Mantissa	Log	Amount	Code	Type	Amount	FirstTwo	First	Second		Diffs * 1000	First-Two	
83			0.51			0.49	$49.00	$4.00	$9.00		10	$10	
84			0.52			1.49	$14.00	$1.00	$4.00		10	$10	
85			0.53			0.36	$36.00	$3.00	$6.00		10	$10	
86			0.54			0.85	$85.00	$8.00	$5.00		30	$30	
87			0.57			1.23	$12.00	$1.00	$2.00		0	$0	
88			0.57			1.68	$16.00	$1.00	$6.00		10	$10	
89			0.58			0.36	$36.00	$3.00	$6.00		10	$10	
90			0.59			1.69	$16.00	$1.00	$6.00		10	$10	
91			0.60			1.22	$12.00	$1.00	$2.00		20	$20	
92			0.62			0.76	$76.00	$7.00	$6.00		10	$10	
93			0.63			0.21	$21.00	$2.00	$1.00		0	$0	
94			0.63			0.98	$98.00	$9.00	$8.00		30	$30	
95			0.66			1.86	$18.00	$1.00	$8.00		0	$0	
96			0.66			0.78	$78.00	$7.00	$8.00		0	$0	
97			0.66			0.26	$26.00	$2.00	$6.00		0	$0	
			0.66			1.99	$19.00	$1.00	$9.00		10	$10	
			0.67			0.11	$11.00	$1.00	$1.00		10	$10	
			0.68			2.22	$22.00	$2.00	$2.00		0	$0	
			0.68			0.29	$29.00	$2.00	$9.00		10	$10	
			0.69			1.45	$14.00	$1.00	$4.00		10	$10	
			0.70			1.70	$17.00	$1.00	$7.00		0	$0	
			0.70			0.36	$36.00	$3.00	$6.00		10	$10	
			0.71			0.87	$87.00	$8.00	$7.00		10	$10	
			0.72			0.66	$66.00	$6.00	$6.00		10	$10	
			0.73			1.05	$10.00	$1.00	$0.00		0	$0	
			0.73			1.54	$15.00	$1.00	$5.00		20	$20	
			0.75			0.32	$32.00	$3.00	$2.00		0	$0	
			0.75			2.14	$21.00	$2.00	$1.00		10	$10	
			0.76			0.13	$13.00	$1.00	$3.00		10	$10	
			0.77			1.77	$17.00	$1.00	$7.00		10	$10	
			0.78			0.27	$27.00	$2.00	$7.00		0	$0	
			0.78			1.30	$13.00	$1.00	$3.00		10	$10	
			0.79			0.73	$73.00	$7.00	$3.00		0	$0	
			0.79			0.58	$58.00	$5.00	$8.00		10	$10	
			0.80			1.26	$12.00	$1.00	$2.00		10	$10	
			0.81			0.18	$18.00	$1.00	$8.00		0	$0	
			0.81			0.86	$86.00	$8.00	$6.00		40	$40	
			0.85			0.62	$62.00	$6.00	$2.00		0	$0	
			0.85			0.36	$36.00	$3.00	$6.00		0	$0	
			0.85			2.14	$21.00	$2.00	$1.00		0	$0	
			0.85			0.08	$80.00	$8.00	$0.00		10	$10	
			0.86			1.07	$10.00	$1.00	$0.00		0	$0	
			0.86			1.26	$12.00	$1.00	$2.00		0	$0	
			0.86			0.26	$26.00	$2.00	$6.00		0	$0	
			0.86			0.17	$17.00	$1.00	$7.00		10	$10	
			0.87			0.38	$38.00	$3.00	$8.00		10	$10	
			0.88			0.94	$94.00	$9.00	$4.00		10	$10	
			0.89			0.66	$66.00	$6.00	$6.00		10	$10	
			0.90			1.22	$12.00	$1.00	$2.00		30	$30	
			0.93			1.14	$11.00	$1.00	$1.00		0	$0	
			0.93			0.12	$12.00	$1.00	$2.00		10	$10	
			0.94			-0.04	$40.00	$4.00	$0.00		0	$0	
			0.94			0.53	$53.00	$5.00	$3.00		0	$0	
			0.94			0.39	$39.00	$3.00	$9.00		30	$30	
			0.97			1.09	$10.00	$1.00	$0.00		10	$10	
			0.98			2.05	$20.00	$2.00	$0.00		0	$0	
			0.98			0.19	$19.00	$1.00	$9.00		20	$20	
			1.00			3.29	$32.00	$3.00	$2.00		20	$20	
			1.02			-0.13	$13.00	$1.00	$3.00		10	$10	
			1.03			0.06	$60.00	$6.00	$0.00		0	$0	
			1.03			0.66	$66.00	$6.00	$6.00		10	$10	
			1.04			0.09	$90.00	$9.00	$0.00		10	$10		
			1.06			-0.35	$35.00	$3.00	$5.00		10	$10	
			1.07			-0.05	$50.00	$5.00	$0.00		20	$20	
			1.09			1.85	$18.00	$1.00	$8.00		10	$10	
			1.10			0.03	$30.00	$3.00	$0.00		40	$40	
			1.14			0.9	$90.00	$9.00	$0.00		20	$20	
			1.16			0.93	$93.00	$9.00	$3.00		0	$0	
			1.16			1.37	$13.00	$1.00	$3.00		50	$50	
			1.21			0.16	$16.00	$1.00	$6.00		10	$10	
			1.22			0.86	$86.00	$8.00	$6.00		0	$0	
			1.22			1.26	$12.00	$1.00	$2.00		0	$0	
			1.22			-0.14	$14.00	$1.00	$4.00		10	$10	
			1.23			0.25	$25.00	$2.00	$5.00		30	$30	
			1.26			0.88	$88.00	$8.00	$8.00		0	$0	
			1.26			0.44	$44.00	$4.00	$4.00		0	$0	
			1.26			-0.01	$10.00	$1.00	$0.00		0	$0	
			1.26			0.37	$37.00	$3.00	$7.00		20	$20	
			1.28			0.59	$59.00	$5.00	$9.00		20	$20	
			1.30			1.21	$12.00	$1.00	$2.00		10	$10	
			1.31			0.02	$20.00	$2.00	$0.00		10	$10	
			1.32			1.26	$12.00	$1.00	$2.00		10	$10	
			1.33			0.46	$46.00	$4.00	$6.00		10	$10	
			1.34			0.03	$30.00	$3.00	$0.00		10	$10	
			1.35			0.79	$79.00	$7.00	$9.00		10	$10	
			1.36			0.24	$24.00	$2.00	$4.00		10	$10	
			1.37			0.51	$51.00	$5.00	$1.00		30	$30	
			1.40			0.37	$37.00	$3.00	$7.00		20	$20	
			1.42			0.85	$85.00	$8.00	$5.00		30	$30	
			1.45			0.14	$14.00	$1.00	$4.00		0	$0	
			1.45			0.63	$63.00	$6.00	$3.00		40	$40	
			1.49			0.46	$46.00	$4.00	$6.00		20	$20	
			1.51			0.13	$13.00	$1.00	$3.00		20	$20	
			1.53			0.16	$16.00	$1.00	$6.00		10	$10	
			1.54			0.89	$89.00	$8.00	$9.00		20	$20	
			1.56			1.61	$16.00	$1.00	$6.00		50	$50	
			1.61			0.75	$75.00	$7.00	$5.00		10	$10	
			1.62			0.54	$54.00	$5.00	$4.00		10	$10	
			1.63			0.70	$70.00	$7.00	$0.00		10	$10	
			1.64			0.20	$20.00	$2.00	$0.00		10	$10	
			1.65			1.31	$13.00	$1.00	$3.00		0	$0	
			1.65			0.94	$94.00	$9.00	$4.00		30	$30	
			1.68			0.70	$70.00	$7.00	$0.00		10	$10	
			1.69			0.51	$51.00	$5.00	$1.00		10	$10	
			1.70			1.06	$10.00	$1.00	$0.00		10	$10	
			1.71			0.77	$77.00	$7.00	$7.00		0	$0	
			1.71			0.68	$68.00	$6.00	$8.00		0	$0	
			1.71			0.42	$42.00	$4.00	$2.00		40	$40	
			1.75			0.86	$86.00	$8.00	$6.00		20	$20	
			1.77			0.86	$86.00	$8.00	$6.00		20	$20	
			1.79			0.29	$29.00	$2.00	$9.00		20	$20	
			1.81			-0.11	$11.00	$1.00	$1.00		10	$10	
			1.82			1.64	$16.00	$1.00	$6.00		30	$30	
			1.85			0.98	$98.00	$9.00	$8.00		10	$10	
			1.86			0.81	$81.00	$8.00	$1.00		0	$0	
			1.86			0.34	$34.00	$3.00	$4.00		0	$0	
			1.86			0.17	$17.00	$1.00	$7.00		120	$12	
			1.98			0.31	$31.00	$3.00	$1.00		10	$10	
			1.99			0.97	$97.00	$9.00	$7.00		60	$60	
			2.05			0.46	$46.00	$4.00	$6.00		60	$60	
			2.11			1.04	$10.00	$1.00	$0.00		30	$30	
			2.14			0.23	$23.00	$2.00	$3.00		0	$0	
			2.14			0.63	$63.00	$6.00	$3.00		80	$80	
			2.22			0.06	$60.00	$6.00	$0.00		100	$10	
			2.32			0.18	$18.00	$1.00	$8.00		60	$60	
			2.38			0.93	$93.00	$9.00	$3.00		340	$34	
			2.72			0.81	$81.00	$8.00	$1.00		30	$30	
			2.75			-0.06	$60.00	$6.00	$0.00		20	$20	
			2.77			0.72	$72.00	$7.00	$2.00		20	$20	
			2.79			0.71	$71.00	$7.00	$1.00		220	$22	
			3.01			0.50	$50.00	$5.00	$0.00		280	$28	
			3.29			-0.06	$60.00	$6.00	$0.00				
